placeref,uic
NL:S:ht,8400319
NL:S:hto,8400320
NL:S:hde,8400388
NL:S:atn,8400045
NL:S:ac,8400047
NL:S:akm,8400049
NL:S:amr,8400050
NL:S:amrn,8400052
NL:S:aml,8400051
NL:S:amri,8400520
NL:S:almb,8400081
NL:S:alm,8400080
NL:S:almm,8400082
NL:S:almo,8400226
NL:S:almp,8400104
NL:S:ampo,8400450
NL:S:apn,8400053
NL:S:amf,8400055
NL:S:amfs,8400054
NL:S:avat,8400228
NL:S:asa,8400057
NL:S:asdar,8499999
NL:S:asb,8400074
NL:S:asd,8400058
NL:S:ashd,8400231
NL:S:asdl,8400079
NL:S:asdm,8400060
NL:S:rai,8400056
NL:S:assp,8400235
NL:S:ass,8400059
NL:S:asdz,8400061
NL:S:ana,8400065
NL:S:apd,8400066
NL:S:apdm,8400233
NL:S:apdo,8400229
NL:S:apg,8400067
NL:S:akl,8400068
NL:S:arn,8400069
NL:S:ah,8400071
NL:S:ahpr,8400075
NL:S:ahp,8400072
NL:S:ahz,8400227
NL:S:asn,8400073
NL:S:brn,8400086
NL:S:bf,8400089
NL:S:brd,8400090
NL:S:bnc,8400091
NL:S:bnn,8400092
NL:S:bnz,8400115
NL:S:bdm,8400094
NL:S:bk,8400096
NL:S:bsd,8400097
NL:S:bl,8400100
NL:S:bgn,8400108
NL:S:bet,8400112
NL:S:bv,8400113
NL:S:bhv,8400114
NL:S:br,8400117
NL:S:bll,8400118
NL:S:bdg,8400121
NL:S:bn,8400124
NL:S:bsk,8400125
NL:S:bkf,8400230
NL:S:bkg,8400127
NL:S:bmr,8400128
NL:S:btl,8400129
NL:S:bd,8400131
NL:S:bdpb,8400132
NL:S:bkl,8400133
NL:S:bmn,8400136
NL:S:bp,8400139
NL:S:bde,8400140
NL:S:bnk,8400141
NL:S:bsmz,8400145
NL:S:ndb,8400452
NL:S:cps,8400147
NL:S:cas,8400151
NL:S:cvm,8400152
NL:S:co,8400153
NL:S:ck,8400155
NL:S:cl,8400154
NL:S:da,8400164
NL:S:dln,8400161
NL:S:dl,8400167
NL:S:klp,8400637
NL:S:dei,8400168
NL:S:ddn,8400169
NL:S:dt,8400170
NL:S:dtz,8400166
NL:S:dz,8400171
NL:S:dzw,8400175
NL:S:dld,8400179
NL:S:gvc,8400282
